S06126-1,Morrisons 10 Garlic Bread Slice,NULL,600533-1,ACETATE 10 Garlic Slice WO HIPS,.0010200000000,Primary,Plastic
S06126-1,Morrisons 10 Garlic Bread Slice,NULL,600701-2,STRETCHFILM 500mmx20mu machine,.0980000000000,Tertiary,Plastic
S06126-1,Morrisons 10 Garlic Bread Slice,NULL,600702-1,LABEL Plain Pallet,.0034790000000,Tertiary,Paper
S06126-1,Morrisons 10 Garlic Bread Slice,NULL,600713-1,TAPE Clear rubber solvent 990m ,.0020000000000,Secondary,Plastic
S06126-1,Morrisons 10 Garlic Bread Slice,NULL,700990-1,CASE Green Isle 10 Garlic Slice,.4470000000000,Secondary,Paper
S06126-1,Morrisons 10 Garlic Bread Slice,NULL,701549-2,FILM Morr Garlic Slices,.0006863333333,Primary,Plastic
S06133-1,Morrison Garlic & Cheese Slice x6,NULL,600404-1,LABEL Plain Therm.Transfr 100x149.5,.0032000000000,Secondary,Paper
S06133-1,Morrison Garlic & Cheese Slice x6,NULL,600701-2,STRETCHFILM 500mmx20mu machine,.0700000000000,Tertiary,Plastic
S06133-1,Morrison Garlic & Cheese Slice x6,NULL,600702-1,LABEL Plain Pallet,.0035000000000,Tertiary,Paper
S06133-1,Morrison Garlic & Cheese Slice x6,NULL,600713-1,TAPE Clear rubber solvent 990m ,.0020000000000,Secondary,Plastic
S06133-1,Morrison Garlic & Cheese Slice x6,NULL,700808-1,CASE (Ref) Garlic & Cheese Slice,.3750000000000,Secondary,Paper
S06133-1,Morrison Garlic & Cheese Slice x6,NULL,700980-1,ACETATE Cheese Slice,.0028333333333,Primary,Plastic
S06133-1,Morrison Garlic & Cheese Slice x6,NULL,701548-2,FILM Morr 6 Cheese & Garlic slices,.0013437500000,Primary,Plastic
S06136-1,Morrisons Garlic & Cheese Slices X6,NULL,600404-1,LABEL Plain Therm.Transfr 100x149.5,.0016000000000,Secondary,Paper
S06136-1,Morrisons Garlic & Cheese Slices X6,NULL,600701-2,STRETCHFILM 500mmx20mu machine,.3850000000000,Tertiary,Plastic
S06136-1,Morrisons Garlic & Cheese Slices X6,NULL,600702-1,LABEL Plain Pallet,.0035700000000,Tertiary,Paper
S06136-1,Morrisons Garlic & Cheese Slices X6,NULL,600713-1,TAPE Clear rubber solvent 990m ,.0040000000000,Secondary,Plastic
S06136-1,Morrisons Garlic & Cheese Slices X6,NULL,700808-1,CASE (Ref) Garlic & Cheese Slice,.3750000000000,Secondary,Paper
S06136-1,Morrisons Garlic & Cheese Slices X6,NULL,700980-1,ACETATE Cheese Slice,.0028333333333,Primary,Plastic
S06136-1,Morrisons Garlic & Cheese Slices X6,NULL,701611-2,FILM  M'Sons 6 Cheese&Garlic Slices,.0012187500000,Primary,PLASTIC
S06137-1,M'Sons 10 Garlic Bread Slices,NULL,600404-1,LABEL Plain Therm.Transfr 100x149.5,.0032000000000,Secondary,Paper
S06137-1,M'Sons 10 Garlic Bread Slices,NULL,600533-1,ACETATE 10 Garlic Slice WO HIPS,.0010200000000,Primary,Plastic
S06137-1,M'Sons 10 Garlic Bread Slices,NULL,600701-2,STRETCHFILM 500mmx20mu machine,.3920000000000,Tertiary,Plastic
S06137-1,M'Sons 10 Garlic Bread Slices,NULL,600702-1,LABEL Plain Pallet,.0034300000000,Tertiary,Paper
S06137-1,M'Sons 10 Garlic Bread Slices,NULL,600713-1,TAPE Clear rubber solvent 990m ,.0040000000000,Secondary,Plastic
S06137-1,M'Sons 10 Garlic Bread Slices,NULL,700990-1,CASE Green Isle 10 Garlic Slice,.4470000000000,Secondary,Paper
S06137-1,M'Sons 10 Garlic Bread Slices,NULL,701645-2,FILM M'Sons 10 Garlic Bread Slices,.0007000000000,PRIMARY,PLASTIC
S06138-1,M'Sons 10 Garlic Bread Slices,NULL,600404-1,LABEL Plain Therm.Transfr 100x149.5,.0016000000000,Secondary,Paper
S06138-1,M'Sons 10 Garlic Bread Slices,NULL,600533-1,ACETATE 10 Garlic Slice WO HIPS,.0010200000000,Primary,Plastic
S06138-1,M'Sons 10 Garlic Bread Slices,NULL,600701-2,STRETCHFILM 500mmx20mu machine,.3920000000000,Tertiary,Plastic
S06138-1,M'Sons 10 Garlic Bread Slices,NULL,600702-1,LABEL Plain Pallet,.0034300000000,Tertiary,Paper
S06138-1,M'Sons 10 Garlic Bread Slices,NULL,600713-1,TAPE Clear rubber solvent 990m ,.0040000000000,Secondary,Plastic
S06138-1,M'Sons 10 Garlic Bread Slices,NULL,700990-1,CASE Green Isle 10 Garlic Slice,.4470000000000,Secondary,Paper
S06138-1,M'Sons 10 Garlic Bread Slices,NULL,701645-2,FILM M'Sons 10 Garlic Bread Slices,.0007000000000,PRIMARY,PLASTIC
B01435-1,PP White Garlic Wht 1/2 Bag 18x2,NULL,600701-2,STRETCHFILM 500mmx20mu machine,.1668000000000,Tertiary,Plastic
B01435-1,PP White Garlic Wht 1/2 Bag 18x2,NULL,600702-1,LABEL Plain Pallet,.0035200000000,Tertiary,Paper
B01435-1,PP White Garlic Wht 1/2 Bag 18x2,NULL,600713-1,TAPE Clear rubber solvent 990m ,.0040000000000,Secondary,Plastic
B01435-1,PP White Garlic Wht 1/2 Bag 18x2,NULL,700991-1,CASE Green Isle 2 Garlic Baguette,.4590000000000,Secondary,Paper
B01435-1,PP White Garlic Wht 1/2 Bag 18x2,NULL,701551-2,FILM Perfect Partners 2 G Bags ,.0039544444444,Primary,Plastic
B01438-1,Morrisons Garlic White Baguette,NULL,600315-2,FILM Melinex PE 255mm Width x 15mu,.0021750000000,Primary,Plastic
B01438-1,Morrisons Garlic White Baguette,NULL,600404-1,LABEL Plain Therm.Transfr 100x149.5,.0032000000000,Secondary,Paper
B01438-1,Morrisons Garlic White Baguette,NULL,600701-2,STRETCHFILM 500mmx20mu machine,.1840000000000,Tertiary,Plastic
B01438-1,Morrisons Garlic White Baguette,NULL,600702-1,LABEL Plain Pallet,.0035200000000,Tertiary,Paper
B01438-1,Morrisons Garlic White Baguette,NULL,600713-1,TAPE Clear rubber solvent 990m ,.0020000000000,Secondary,Plastic
B01438-1,Morrisons Garlic White Baguette,NULL,700991-1,CASE Green Isle 2 Garlic Baguette,.4590000000000,Secondary,Paper
B01438-1,Morrisons Garlic White Baguette,NULL,701550-2,FILM Morrisons 2 white G Bag,.0039541666667,Primary,Plastic
B01440-1,Morrisons Garlic 1/2 Harvester Bagu,NULL,600315-2,FILM Melinex PE 255mm Width x 15mu,.0021750000000,Primary,Plastic
B01440-1,Morrisons Garlic 1/2 Harvester Bagu,NULL,600404-1,LABEL Plain Therm.Transfr 100x149.5,.0016000000000,Secondary,Paper
B01440-1,Morrisons Garlic 1/2 Harvester Bagu,NULL,600701-2,STRETCHFILM 500mmx20mu machine,.8000000000000,Tertiary,Plastic
B01440-1,Morrisons Garlic 1/2 Harvester Bagu,NULL,600702-1,LABEL Plain Pallet,.0028000000000,Tertiary,Paper
B01440-1,Morrisons Garlic 1/2 Harvester Bagu,NULL,600713-1,TAPE Clear rubber solvent 990m ,.0040000000000,Secondary,Plastic
B01440-1,Morrisons Garlic 1/2 Harvester Bagu,NULL,700991-1,CASE Green Isle 2 Garlic Baguette,.4590000000000,Secondary,Paper
B01440-1,Morrisons Garlic 1/2 Harvester Bagu,NULL,701547-2,FILM Morr 2 H'vester gbag,.0040277777778,Primary,Plastic
B01450-1,M'Sons Garlic 1/2 White Baguette,NULL,600315-2,FILM Melinex PE 255mm Width x 15mu,.0020000000000,Primary,Plastic
B01450-1,M'Sons Garlic 1/2 White Baguette,NULL,600404-1,LABEL Plain Therm.Transfr 100x149.5,.0032000000000,Secondary,Paper
B01450-1,M'Sons Garlic 1/2 White Baguette,NULL,600701-2,STRETCHFILM 500mmx20mu machine,.4000000000000,Tertiary,Plastic
B01450-1,M'Sons Garlic 1/2 White Baguette,NULL,600702-1,LABEL Plain Pallet,.0035200000000,Tertiary,Paper
B01450-1,M'Sons Garlic 1/2 White Baguette,NULL,600713-1,TAPE Clear rubber solvent 990m ,.0040000000000,Secondary,Plastic
